Time (s),Color,ROI Coordinates (x,y,w,h)
0.03,Red,(640, 0, 90, 250)
0.07,Red,(640, 0, 90, 250)
0.10,Red,(640, 0, 90, 250)
0.13,Red,(640, 0, 90, 250)
0.17,Red,(640, 0, 90, 250)
0.20,Red,(640, 0, 90, 250)
0.23,Red,(640, 0, 90, 250)
0.27,Red,(640, 0, 90, 250)
0.30,Red,(640, 0, 90, 250)
0.33,Red,(640, 0, 90, 250)
0.37,Red,(640, 0, 90, 250)
0.40,Red,(640, 0, 90, 250)
0.43,Red,(640, 0, 90, 250)
0.47,Red,(640, 0, 90, 250)
0.50,Red,(640, 0, 90, 250)
0.53,Red,(640, 0, 90, 250)
0.57,Red,(640, 0, 90, 250)
0.60,Red,(640, 0, 90, 250)
0.63,Red,(640, 0, 90, 250)
0.67,Red,(640, 0, 90, 250)
0.70,Red,(640, 0, 90, 250)
0.73,Red,(640, 0, 90, 250)
0.77,Red,(640, 0, 90, 250)
0.80,Red,(640, 0, 90, 250)
0.83,Red,(640, 0, 90, 250)
0.87,Red,(640, 0, 90, 250)
0.90,Red,(640, 0, 90, 250)
0.93,Red,(640, 0, 90, 250)
0.97,Red,(640, 0, 90, 250)
1.00,Red,(640, 0, 90, 250)
1.03,Red,(640, 0, 90, 250)
1.07,Red,(640, 0, 90, 250)
1.10,Red,(640, 0, 90, 250)
1.13,Red,(640, 0, 90, 250)
1.17,Red,(640, 0, 90, 250)
1.20,Red,(640, 0, 90, 250)
1.23,Red,(640, 0, 90, 250)
1.27,Red,(640, 0, 90, 250)
1.30,Red,(640, 0, 90, 250)
1.33,Red,(640, 0, 90, 250)
1.37,Red,(640, 0, 90, 250)
1.40,Red,(640, 0, 90, 250)
1.43,Red,(640, 0, 90, 250)
1.47,Red,(640, 0, 90, 250)
1.50,Red,(640, 0, 90, 250)
1.53,Red,(640, 0, 90, 250)
1.57,Red,(640, 0, 90, 250)
1.60,Red,(640, 0, 90, 250)
1.63,Red,(640, 0, 90, 250)
1.67,Red,(640, 0, 90, 250)
1.70,Red,(640, 0, 90, 250)
1.73,Red,(640, 0, 90, 250)
1.77,Red,(640, 0, 90, 250)
1.80,Red,(640, 0, 90, 250)
1.83,Red,(640, 0, 90, 250)
1.87,Red,(640, 0, 90, 250)
1.90,Red,(640, 0, 90, 250)
1.93,Red,(640, 0, 90, 250)
1.97,Red,(640, 0, 90, 250)
2.00,Red,(640, 0, 90, 250)
2.03,Red,(640, 0, 90, 250)
2.07,Red,(640, 0, 90, 250)
2.10,Red,(640, 0, 90, 250)
2.13,Red,(640, 0, 90, 250)
2.17,Red,(640, 0, 90, 250)
2.20,Red,(640, 0, 90, 250)
2.23,Red,(640, 0, 90, 250)
2.27,Red,(640, 0, 90, 250)
2.30,Red,(640, 0, 90, 250)
