Time (s),Color,ROI Coordinates (x,y,w,h)
0.03,Green,(160, 230, 90, 60)
0.07,Green,(160, 230, 90, 60)
0.10,Green,(160, 230, 90, 60)
0.13,Green,(160, 230, 90, 60)
0.17,Green,(160, 230, 90, 60)
1.00,Green,(560, 210, 80, 100)
1.03,Green,(560, 210, 80, 100)
1.07,Green,(560, 210, 80, 100)
1.10,Green,(560, 210, 80, 100)
1.13,Green,(560, 210, 80, 100)
1.17,Green,(560, 210, 80, 100)
1.20,Green,(560, 210, 80, 100)
1.23,Green,(560, 210, 80, 100)
1.27,Green,(560, 210, 80, 100)
1.30,Green,(560, 210, 80, 100)
1.33,Green,(560, 210, 80, 100)
1.37,Green,(560, 210, 80, 100)
1.40,Green,(560, 210, 80, 100)
1.43,Green,(560, 210, 80, 100)
1.47,Green,(560, 210, 80, 100)
1.60,Green,(560, 210, 80, 100)
1.63,Green,(560, 210, 80, 100)
1.70,Green,(160, 230, 90, 60)
1.73,Green,(160, 230, 90, 60)
1.73,Green,(560, 210, 80, 100)
1.77,Green,(560, 210, 80, 100)
1.80,Green,(560, 210, 80, 100)
1.83,Green,(160, 230, 90, 60)
1.83,Green,(560, 210, 80, 100)
1.87,Green,(560, 210, 80, 100)
1.90,Green,(560, 210, 80, 100)
1.93,Green,(560, 210, 80, 100)
2.10,Green,(160, 230, 90, 60)
2.10,Green,(560, 210, 80, 100)
2.13,Green,(160, 230, 90, 60)
2.17,Green,(160, 230, 90, 60)
2.20,Green,(160, 230, 90, 60)
2.23,Green,(160, 230, 90, 60)
2.40,Green,(160, 230, 90, 60)
2.43,Green,(160, 230, 90, 60)
2.47,Green,(160, 230, 90, 60)
2.50,Green,(160, 230, 90, 60)
2.50,Green,(560, 210, 80, 100)
2.53,Green,(160, 230, 90, 60)
2.53,Green,(560, 210, 80, 100)
2.57,Green,(160, 230, 90, 60)
2.57,Green,(560, 210, 80, 100)
2.60,Green,(160, 230, 90, 60)
2.60,Green,(560, 210, 80, 100)
2.63,Green,(160, 230, 90, 60)
2.63,Green,(560, 210, 80, 100)
2.67,Green,(160, 230, 90, 60)
2.67,Green,(560, 210, 80, 100)
2.73,Green,(560, 210, 80, 100)
2.77,Green,(560, 210, 80, 100)
2.80,Green,(560, 210, 80, 100)
2.83,Green,(160, 230, 90, 60)
2.83,Green,(560, 210, 80, 100)
2.87,Green,(160, 230, 90, 60)
2.87,Green,(560, 210, 80, 100)
2.90,Green,(160, 230, 90, 60)
2.90,Green,(560, 210, 80, 100)
2.93,Green,(160, 230, 90, 60)
2.93,Green,(560, 210, 80, 100)
2.97,Green,(160, 230, 90, 60)
2.97,Green,(560, 210, 80, 100)
3.00,Green,(160, 230, 90, 60)
3.00,Green,(560, 210, 80, 100)
3.03,Green,(160, 230, 90, 60)
3.03,Green,(560, 210, 80, 100)
3.07,Green,(160, 230, 90, 60)
3.07,Green,(560, 210, 80, 100)
3.10,Green,(160, 230, 90, 60)
3.10,Green,(280, 150, 100, 60)
3.10,Green,(560, 210, 80, 100)
3.13,Green,(160, 230, 90, 60)
3.13,Green,(560, 210, 80, 100)
3.17,Green,(160, 230, 90, 60)
3.17,Green,(560, 210, 80, 100)
3.20,Green,(160, 230, 90, 60)
3.20,Green,(560, 210, 80, 100)
3.23,Green,(560, 210, 80, 100)
3.27,Green,(560, 210, 80, 100)
3.30,Green,(160, 230, 90, 60)
3.30,Green,(560, 210, 80, 100)
3.33,Green,(160, 230, 90, 60)
3.33,Green,(560, 210, 80, 100)
3.37,Green,(160, 230, 90, 60)
3.37,Green,(560, 210, 80, 100)
3.40,Green,(160, 230, 90, 60)
3.40,Green,(560, 210, 80, 100)
3.43,Green,(160, 230, 90, 60)
3.43,Green,(560, 210, 80, 100)
3.47,Green,(160, 230, 90, 60)
3.47,Green,(560, 210, 80, 100)
3.50,Green,(160, 230, 90, 60)
3.50,Green,(560, 210, 80, 100)
3.53,Green,(160, 230, 90, 60)
3.53,Green,(560, 210, 80, 100)
3.57,Green,(160, 230, 90, 60)
3.57,Green,(560, 210, 80, 100)
3.60,Green,(160, 230, 90, 60)
3.60,Green,(560, 210, 80, 100)
3.63,Green,(160, 230, 90, 60)
3.63,Green,(560, 210, 80, 100)
3.67,Green,(560, 210, 80, 100)
3.70,Green,(560, 210, 80, 100)
3.73,Green,(560, 210, 80, 100)
3.77,Green,(560, 210, 80, 100)
3.80,Green,(160, 230, 90, 60)
3.80,Green,(560, 210, 80, 100)
3.83,Green,(160, 230, 90, 60)
3.83,Green,(560, 210, 80, 100)
3.87,Green,(160, 230, 90, 60)
3.87,Green,(560, 210, 80, 100)
3.90,Green,(160, 230, 90, 60)
3.90,Green,(560, 210, 80, 100)
3.93,Green,(160, 230, 90, 60)
3.97,Green,(160, 230, 90, 60)
4.00,Green,(160, 230, 90, 60)
4.03,Green,(160, 230, 90, 60)
4.07,Green,(160, 230, 90, 60)
4.10,Green,(160, 230, 90, 60)
4.13,Green,(160, 230, 90, 60)
4.17,Green,(160, 230, 90, 60)
4.20,Green,(160, 230, 90, 60)
4.23,Green,(160, 230, 90, 60)
4.27,Green,(160, 230, 90, 60)
4.30,Green,(160, 230, 90, 60)
4.33,Green,(160, 230, 90, 60)
4.37,Green,(160, 230, 90, 60)
4.37,Green,(560, 210, 80, 100)
4.40,Green,(160, 230, 90, 60)
4.40,Green,(560, 210, 80, 100)
4.43,Green,(160, 230, 90, 60)
4.43,Green,(560, 210, 80, 100)
4.47,Green,(160, 230, 90, 60)
4.47,Green,(560, 210, 80, 100)
4.50,Green,(160, 230, 90, 60)
4.50,Green,(560, 210, 80, 100)
4.53,Green,(160, 230, 90, 60)
4.53,Green,(560, 210, 80, 100)
4.57,Green,(160, 230, 90, 60)
4.57,Green,(560, 210, 80, 100)
4.63,Green,(560, 210, 80, 100)
4.67,Green,(160, 230, 90, 60)
4.67,Green,(560, 210, 80, 100)
4.70,Green,(160, 230, 90, 60)
4.70,Green,(560, 210, 80, 100)
4.73,Green,(560, 210, 80, 100)
4.80,Green,(560, 210, 80, 100)
4.83,Green,(560, 210, 80, 100)
4.87,Green,(560, 210, 80, 100)
4.97,Green,(560, 210, 80, 100)
5.00,Green,(560, 210, 80, 100)
5.03,Green,(560, 210, 80, 100)
5.07,Green,(560, 210, 80, 100)
5.10,Green,(560, 210, 80, 100)
5.13,Green,(560, 210, 80, 100)
5.17,Green,(560, 210, 80, 100)
5.20,Green,(560, 210, 80, 100)
5.23,Green,(560, 210, 80, 100)
5.27,Green,(560, 210, 80, 100)
5.30,Green,(560, 210, 80, 100)
5.33,Green,(560, 210, 80, 100)
5.37,Green,(560, 210, 80, 100)
5.40,Green,(560, 210, 80, 100)
5.47,Green,(160, 230, 90, 60)
5.47,Green,(560, 210, 80, 100)
5.50,Green,(160, 230, 90, 60)
5.50,Green,(560, 210, 80, 100)
5.53,Green,(160, 230, 90, 60)
5.53,Green,(560, 210, 80, 100)
5.57,Green,(160, 230, 90, 60)
5.57,Green,(560, 210, 80, 100)
5.60,Green,(560, 210, 80, 100)
5.63,Green,(560, 210, 80, 100)
5.67,Green,(560, 210, 80, 100)
5.70,Green,(560, 210, 80, 100)
5.73,Green,(560, 210, 80, 100)
5.77,Green,(560, 210, 80, 100)
5.80,Green,(560, 210, 80, 100)
5.83,Green,(560, 210, 80, 100)
5.87,Green,(160, 230, 90, 60)
5.87,Green,(560, 210, 80, 100)
5.90,Green,(560, 210, 80, 100)
5.93,Yellow,(160, 230, 90, 60)
5.93,Yellow,(280, 150, 100, 60)
5.93,Green,(280, 150, 100, 60)
5.93,Yellow,(560, 210, 80, 100)
