Time (s),Color,ROI Coordinates (x,y,w,h)
6.00,Yellow,(200, 55, 120, 320)
6.03,Red,(200, 55, 120, 320)
6.03,Yellow,(200, 55, 120, 320)
6.07,Red,(200, 55, 120, 320)
6.07,Yellow,(200, 55, 120, 320)
6.33,Green,(200, 55, 120, 320)
6.37,Green,(200, 55, 120, 320)
6.40,Green,(200, 55, 120, 320)
6.43,Green,(200, 55, 120, 320)
6.47,Green,(200, 55, 120, 320)
6.50,Green,(200, 55, 120, 320)
6.53,Green,(200, 55, 120, 320)
6.57,Green,(200, 55, 120, 320)
6.60,Green,(200, 55, 120, 320)
6.63,Green,(200, 55, 120, 320)
6.67,Green,(200, 55, 120, 320)
6.70,Green,(200, 55, 120, 320)
6.73,Green,(200, 55, 120, 320)
6.77,Green,(200, 55, 120, 320)
6.80,Green,(200, 55, 120, 320)
6.83,Green,(200, 55, 120, 320)
6.87,Green,(200, 55, 120, 320)
6.90,Green,(200, 55, 120, 320)
6.93,Green,(200, 55, 120, 320)
6.97,Green,(200, 55, 120, 320)
7.00,Green,(200, 55, 120, 320)
7.03,Green,(200, 55, 120, 320)
7.07,Green,(200, 55, 120, 320)
7.10,Green,(200, 55, 120, 320)
7.13,Green,(200, 55, 120, 320)
7.17,Green,(200, 55, 120, 320)
7.20,Green,(200, 55, 120, 320)
7.23,Green,(200, 55, 120, 320)
7.27,Green,(200, 55, 120, 320)
7.30,Green,(200, 55, 120, 320)
7.33,Green,(200, 55, 120, 320)
7.37,Green,(200, 55, 120, 320)
7.40,Green,(200, 55, 120, 320)
7.43,Green,(200, 55, 120, 320)
7.47,Green,(200, 55, 120, 320)
7.50,Green,(200, 55, 120, 320)
7.53,Green,(200, 55, 120, 320)
7.57,Green,(200, 55, 120, 320)
7.60,Green,(200, 55, 120, 320)
7.63,Green,(200, 55, 120, 320)
7.67,Green,(200, 55, 120, 320)
7.70,Green,(200, 55, 120, 320)
7.73,Green,(200, 55, 120, 320)
7.77,Green,(200, 55, 120, 320)
7.80,Green,(200, 55, 120, 320)
7.83,Green,(200, 55, 120, 320)
7.87,Green,(200, 55, 120, 320)
7.90,Green,(200, 55, 120, 320)
7.93,Green,(200, 55, 120, 320)
7.97,Green,(200, 55, 120, 320)
8.00,Green,(200, 55, 120, 320)
8.03,Green,(200, 55, 120, 320)
8.07,Green,(200, 55, 120, 320)
8.10,Green,(200, 55, 120, 320)
8.13,Green,(200, 55, 120, 320)
